date,open,high,low,close,volume
2017-10-31,180.12,193.95,180.12,192.92,800012
2017-11-01,192.98,194.42,188.12,188.89,386670
2017-11-02,189.82,193.29,189.77,190.05,365074
2017-11-03,190.33,195.02,190.33,194.9,320979
2017-11-06,195.18,198.29,195.14,196.55,348991
2017-11-07,197.11,198.0,194.95,197.21,176487
2017-11-08,193.9,197.79,192.62,196.97,379927
2017-11-09,196.93,197.28,194.83,195.54,213486
2017-11-10,195.53,196.2,193.59,195.21,176495
2017-11-13,193.36,196.0,193.36,195.13,464623
2017-11-14,195.0,196.08,193.11,193.75,344240
2017-11-15,193.61,194.17,190.07,193.11,342547
2017-11-16,193.79,196.48,193.36,194.91,291553
2017-11-17,194.56,194.88,191.44,194.32,448782
2017-11-20,200.0,200.0,195.11,195.59,409163
2017-11-21,197.22,199.61,196.31,199.58,352850
2017-11-22,199.7,199.75,197.01,198.86,280671
2017-11-24,199.63,199.98,198.56,199.74,85790
2017-11-27,199.98,200.28,198.09,198.45,289165
2017-11-28,198.71,199.06,194.61,197.33,808604
2017-11-29,197.86,198.82,193.0,194.15,419165
2017-11-30,195.15,196.18,193.08,194.84,354939
2017-12-01,195.0,195.26,189.26,194.6,353377
2017-12-04,196.52,196.54,189.45,189.57,532458
2017-12-05,189.2,193.03,187.34,187.96,379090
2017-12-06,187.71,189.26,186.72,187.0,261679
2017-12-07,187.54,190.53,187.54,187.91,355093
2017-12-08,188.01,191.4,187.95,191.36,273136
2017-12-11,191.36,193.84,191.08,193.43,258837
2017-12-12,194.06,195.13,192.44,192.94,191913
2017-12-13,193.02,193.86,191.74,193.06,177320
2017-12-14,193.53,194.74,188.18,188.44,292909
2017-12-15,189.42,191.22,188.14,188.71,391522
2017-12-18,190.01,191.38,189.05,190.07,233650
2017-12-19,190.91,194.01,190.71,193.89,229839
